#bandwidth (averaged value from 20 runs)
[syang@cyclops pt2pt]$ mpiexec -n 2 ./osu_bw
# OSU MPI Bandwidth Test v3.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.84
4                       9.64
8                      19.25
16                     38.64
32                     77.31
64                    153.76
128                   286.43
256                   545.78
512                  1067.07
1024                 3051.15
2048                 5549.17
4096                 3327.92
8192                 4365.13
16384                4653.03
32768                5046.09
65536                4435.14
131072               4903.61
262144               4782.35
524288               5069.95
1048576              5268.07
2097152              5369.44
4194304              5058.71


#lantency (averaged value from 20 runs)
mpiexec -machinefile $PBS_NODEFILE -n 2 ./osu_latency
# OSU MPI Latency Test v3.8
# Size          Latency (us)
0                       0.38
1                       0.39
2                       0.28
4                       0.25
8                       0.40
16                      0.65
32                      0.63
64                      0.60
128                     0.68
256                     0.73
512                     0.82
1024                    0.92
2048                    1.16
4096                    1.72
8192                    2.74
16384                   5.09
32768                  10.19
65536                  14.73
131072                 24.70
262144                 45.61
524288                 92.11
1048576               196.05
2097152               410.00
4194304               994.24
